species,disease,symptoms,urgency,contagious,source
Bird,Conjunctivitis,"red_eyes, discharge, red_skin, swelling, squinting, cloudy_eyes, glassy_eyes, rapid_head_movements, scratching, rubbing_the_eye, loss_of_appetite, lethargy",medium,no,overhaul_simple
Bird,Cataract,"cloudy_eyes, clinical_signs_can_be_depression_inactivity_and_reluctance_to_come_out_of, squinting, light_sensitivity_the_bird_may_react_negatively_to_bright_lights, feather_damage_excessive_rubbing_can_lead_to_feather_displacement_over_the_eye",medium,no,overhaul_simple
Bird,Fractures,"limping, drooping_wing, abnormal_limb_position_a_leg, inability_to_move_a_limb, swelling, wing_droop, inability_to_fly",medium,no,overhaul_simple
Bird,Gout,"swollen_joints, white_deposits, the_joints_become_swollen_red_tender_swell_and_warm_to_touch, bird_prefers_to_sit_on_flat_surface_instead_of_perching, makes_noise_when_walking_due_to_discomfort, can_also_be_dehydrated, diarrhea",medium,no,overhaul_simple
Bird,Aspergillosis,"labored_breathing, wheezing, lack_of_appetite, weight_loss, sudden_death_if_untreated, airsacculitis, mucus, nodules_in_lungs, listlessness, depression, weakness, difficulty_breathing, symptoms_appear_only_after_long_infection, severe_possibly_permanent_respiratory_damage, bone_changes, spread_of_infection_to_other_organs_and_systems, tremors, incoordination, paralysis",medium,no,overhaul_simple
Bird,Avian Influenza,"nasal_discharge, lethargy, coughing, labored_breathing, swelling, gurgling, loss_of_appetite, diarrhea, sudden_drop_in_egg_production, reluctance_to_move, huddling, unusual_isolation_from_the_group, vocalization",medium,no,overhaul_simple
Bird,Newcastle Disease,"twisted_neck, paralysis, appetite_loss, weight_loss, sneezing, nasal_discharge, eye_discharge, difficulty_breathing, diarrhea, incoordination, spasms, head_bobbing, jerky_involuntary_movements, twisting_of_the_neck, unnatural_head_position, dilation_of_pupils, sudden_death",medium,no,overhaul_simple
Bird,Air sac mites / gapeworms,"open_mouth_breathing, tail_bobbing, difficulty_breathing, bobbing_of_the_tail, salivation",medium,no,overhaul_simple
Bird,Cloacal prolapse,"tissue_protruding_from_vent, protrusion_of_inner_cloacal_tissues_from_the_vent, exposure_of_intestines_cloaca, swelling, straining_during_defecation, or_prolonged_attempts_to_pass_droppings, signs_of_discomfort, holding_in_feces_for_long_periods_of_time, crying, cases_can_cause_stretching_and_dilation_of_the_vent, often_seen_in_hand, can_be_worsened_by_behavioral_causes_like_misplaced_sexual_attachment_to_humans",medium,no,overhaul_simple
Bird,Egg binding,"straining_to_urinate, distended_abdomen, fluffed_feathers, reduced, cloacal_prolapse, wide, tail_wagging, open_mouth_breathing, difficulty_breathing, weakness, paralysis, sudden_death_in_untreated, weight_loss",medium,no,overhaul_simple
Bird,Feather cysts,"lump_under_skin, swelling, scratching, changes_in_feather_appearance_cysts_may_cause_adjacent_feathers_to_appear_disheveled_broken, red_skin, lethargy",medium,no,overhaul_simple
Bird,Bumblefoot,"swelling, skin_lesions, lameness, changes_in_behavior, loss_of_appetite, abnormal_foot_appearance",medium,no,overhaul_simple
Bird,Ringworm,"bald_patches, red_crusty, feathers_adjacent_to_the_affected_area_may_appear_brittle_broken",medium,no,overhaul_simple
Bird,Scaly face / tassel foot / feather mites,"dandruff, itching, white_crusts_around_the_corners_of_the_beak, scabs, loss_of_feathers_near_affected_areas, beak_deformities, eye_deformities_in_severe_cases, white_crusts_on_legs_and_toes, crooked, feather_loss, restlessness, increased_activity, pale_appearance, weakness, high_risk_of_fatality_in_chicks",medium,no,overhaul_simple
Bird,Psittacine Beak and Feather Disease,"feather_loss, beak_deformities, feathers_short_sharp_fragile_malformed_feathers_which_bleed_and_break_causing_significant_loss_of_powder_down_and_contour_feathers_with_loss_of_pigment_in_a_symmetrical_pattern, skin_scarring_scaly_thickened_moist_skin_skin_infections_loss_of_temperature_control, beak_initially_glossy_then_dull_brittle_and_malformed, nails_brittle_and_malformed, internal_organs_immune_system_failure_including_the_thymus_bursa_of_fabricius_and_bone_marrow",medium,no,overhaul_simple
Bird,Heavy metal poisoning,"ataxia, weakness, vomiting, excessive_thirst, lethargy, tremors, incoordination, seizures, pale_gums, sudden_death_in_severe_cases",medium,no,overhaul_simple
Turtle,Septicemia,"reddened_skin, pink, pink_flushing_on_skin_especially_between_scutes, lethargy, loss_of_appetite, respiratory_distress, seizures, incoordination, red_spots_on_legs_and_skin",medium,no,overhaul_simple
Turtle,Infectious stomatitis,"mouth_rot, swelling, pus, small_red_spots_in_the_oral_cavity, swollen_red_and_inflamed_gums, thick_white, mucus, foul, loss_of_appetite, open_mouth_breathing, disfigurement_of_the_head, pain_when_eating",medium,no,overhaul_simple
Turtle,Eye abscesses / conjunctivitis,"swelling, discharge, swollen_eyelids, eyes_swollen_shut, cloudy_eyes, eye_discharge, red_skin, eye_that_protrudes, pawing, squinting, blood_in_urine, hard_lump, dents, nasal_discharge, lethargy, inappetence",medium,no,overhaul_simple
Turtle,Ear infections,"swollen_ear_area, swelling, bulging_tympanic_membrane, lump_on_the_side_of_the_head, pain_when_mouth_is_opened, head_shaking, sensitivity_around_the_ears, discharge, loss_of_appetite, lethargy",medium,no,overhaul_simple
Turtle,Abnormal beak growth,"deformity, overgrown_beak, misshapen, beak_deformities, difficulty_eating",medium,no,overhaul_simple
Turtle,Stargazing,"abnormal_head_posture, head_tilt, abnormal_head_positioning, incoordination, inability_to_right_themselves_when_placed_on_their_back, neurological_signs",medium,no,overhaul_simple
Turtle,Pneumonia,"open_mouth_breathing, nasal_bubbles, difficulty_breathing, labored_breathing, increased_respiratory_rate, nasal_discharge, bubbles_in_mouth_nose, mucus, wheezing, extension_of_neck_to_breathe, dyspnea, lethargy, loss_of_appetite, tilting_to_one_side_while_swimming, gaping, coughing, pale_gums, conjunctivitis",medium,no,overhaul_simple
Turtle,Dystocia,"egg_retention, swollen_body, distended_abdomen, loss_of_appetite, lethargy, straining_to_urinate, wide, restlessness, weight_loss",medium,no,overhaul_simple
Turtle,Vent prolapse,"tissue_protruding, tissue, red_skin, swelling, straining_to_urinate, edema, discharge",medium,no,overhaul_simple
Turtle,Abscesses,"lumps, swelling, tumor, red_and_sensitive_skin_over_abscess, pus, discharge, pain_when_area_is_touched",medium,no,overhaul_simple
Turtle,Dysecdysis,"retained_skin, patches_of_old_skin_that_havent_shed, skin_stuck_on_body_tail, constriction_of_limbs_from_retained_shed, dull, difficulty_shedding",medium,no,overhaul_simple
Turtle,Skin parasites,"mites, ticks, small_parasites_on_skin, mites_visible_as_tiny_dots_especially_around_eyes_under_scales, ticks_embedded_in_skin, scratching, restlessness, lethargy, pale_appearance",medium,no,overhaul_simple
Turtle,Scale rot / blister disease,"skin_ulcers, blisters, reddening_of_the_skin, fluid, areas_of_dead_skin, bleeding_into_scales, pus, discharge, scabs, brown",medium,no,overhaul_simple
Fish,Papilloma,"lumps, raised_masses_on_skin, tumor",medium,no,overhaul_simple
Fish,Lymphocystis,"white_cauliflower, white_spots, cauliflower, nodular_masses_on_fins_skin, wart",medium,no,overhaul_simple
Fish,Fin Rot,"frayed_fins, ragged_frayed, fin_edges_appear_torn, red_skin, white_edges_on_fins, fins_progressively_shortening, milky_appearance_at_fin_margins",medium,no,overhaul_simple
Fish,Ich,"white_spots, spots_appear_raised, scratching, mucus, lethargy, loss_of_appetite, clamped_fins, rapid, difficulty_breathing, scale_damage, pale_gills",medium,no,overhaul_simple
Fish,Fungus,"cotton, white_gray, fluffy, patches_that_look_like_cotton_balls, may_start_on_wounds, lethargy, loss_of_appetite",medium,no,overhaul_simple
Fish,Popeye / Exophthalmia,"bulging_eyes, one, swelling, cloudy_eyes, eye_appears_to_stick_out_from_socket, red_skin, discharge",medium,no,overhaul_simple
Fish,Skin and Gill Flukes,"rubbing_against_objects, weight_loss, rapid_gill_movements, labored_breathing, gasping_at_surface, mucus, pale_gums, clamped_fins, lethargy, loss_of_appetite, skin_appears_cloudy",medium,no,overhaul_simple
Fish,Lernaea,"anchor_worms, thread, worm, red_inflamed_areas_where_parasites_attach, skin_lesions, scratching, rubbing_against_objects, lethargy",medium,no,overhaul_simple
Fish,Swim Bladder Disease,"abnormal_floating, swimming_upside_down, floating_at_the_surface_uncontrollably, sinking_to_the_bottom, swimming_on_side, difficulty_maintaining_position_in_water, struggling_to_swim_normally, loss_of_balance, distended_abdomen",medium,no,overhaul_simple
Fish,Vitamin C Deficiency,"spine_curvature, lethargy, curved, deformed_body_shape, loss_of_appetite, darkening_of_skin_color, poor_growth, fin_erosion, hemorrhaging_under_skin",medium,no,overhaul_simple
Fish,Egg Retention,"distended_abdomen, lump_in_belly_area, lethargy, loss_of_appetite, difficulty_swimming, hiding, straining_to_urinate",medium,no,overhaul_simple
Dog,Leptospirosis,"lethargy, weight_loss, vomiting, diarrhea, fever, abdominal_pain, edema, bruising, bleeding_from_the_gums, blood_in_the urine stool_or nose, stiffness, jaundice_characterized_by_yellowing_of_the_eyes_gums, excessive_thirst, skin_ulcers, red_eyes, dehydration, sudden_miscarriage",high,yes,overhaul_detailed
Dog,Giarda,"foul, lethargy, loss_of_appetite, abdominal_discomfort, weight_loss",medium,yes,overhaul_detailed
Dog,Tapeworms,"scooting_the_rear_end_along_the_ground, licking, worm_segments_in_stool, weight_loss, vomiting, possible_intestinal_blockage",medium,yes,overhaul_detailed
Dog,Whipworms,"diarrhea, weight_loss, dehydration, anemia, electrolyte_imbalances, visible_small_thread",medium,yes,overhaul_detailed
Dog,Canine Enteric Coronavirus,"diarrhea, vomiting, loss_of_appetite, abdominal_pain, lethargy, dehydration, fever, seizures",medium,yes,overhaul_detailed
Dog,Canine respiratory coronavirus,"coughing, sneezing, labored_breathing, diarrhea, nasal_discharge, gagging, fever, lethargy, loss_of_appetite",medium,yes,overhaul_detailed
Dog,Infectious Canine Hepatitis,"lethargy, increased_thirst, loss_of_appetite, eye_discharge, cloudy_eyes, abdominal_pain, vomiting, small_red, enlarged_tonsils, fever, swelling",high,yes,overhaul_detailed
Dog,Pyoderma,"red_inflamed, circular_crusts, dandruff, hair_loss, small_raised_pustules, skin_lesions, thickened, swelling, lethargy, loss_of_appetite, abdominal_pain",medium,no,overhaul_detailed
Dog,Hot Spots,"skin_lesions, moist, bleeding_from_the_affected_area, abdominal_pain, rapidly_spreading_lesion_due_to_licking_chewing, licking_biting, hair_loss",medium,no,overhaul_detailed
Dog,Urinary Tract Infection,"straining_to_urinate, painful, passing_small_amounts_of_urine, frequent_urination, urinary_accidents_indoors, licking, swelling, drooling, blood_in_the_urine, discharge, strong, increased_thirst, lethargy, fever, loss_of_appetite",medium,no,overhaul_detailed
Dog,Ringworm,"circular, broken, dry_scaly_skin, lethargy, darkened, scratching, inflamed, dry_brittle",medium,yes,overhaul_detailed
Dog,Cushing’s Disease,"increased_appetite, increased_thirst_and_water_intake, or_excessive_urination, heavy, weight_loss, lethargy, potbellied, hair_loss, recurrent_skin_infections, lumps",medium,no,overhaul_detailed
Dog,Addison’s Disease,"increased_thirst_and_water_intake, or_excessive_urination, muscle_trembling, lethargy, weakness, loss_of_appetite, diarrhea, vomiting, weight_loss, abdominal_pain",high,no,overhaul_detailed
Dog,Hypothyroidism,"unexplained_weight_gain_despite_normal, lethargy, prefers_warm_places, skin_infections, recurrent_ear_infections, dry_brittle, darkened, hair_not_regrowing_after_shaving, reproductive_issues, weakness, eye_fat_deposits, dry_eye, drooping_facial_expression_due_to_thickened_facial_skin",medium,no,overhaul_detailed
Dog,Chronic Kidney Disease,"pale_gums, frequent_urination, increased_thirst, loss_of_appetite, dehydration, muscle_wasting, nausea, vomiting, skin_ulcers, bad_breath, dull, vision_loss, lethargy, weight_loss",high,no,overhaul_detailed
Dog,Liver Disease,"yellowing_of_eyes_gums, confusion, seizures, depression, head_pressing, sudden_blindness, behavioral_changes, loss_of_appetite, vomiting, diarrhea, weight_loss, excessive_thirst, frequent_urination, pale_gray, distended_abdomen",high,no,overhaul_detailed
Dog,Hip Dysplasia,"limping, bunny_hopping_gait, difficulty_standing_up, abnormal_sitting_posture, difficulty_climbing_stairs",medium,no,overhaul_detailed
Dog,Patellar Luxation,"limping, limp_that_comes_and_goes, bowlegged_stance_in_the_hind_limbs, arched, clicking, stiffness, short_yelp",medium,no,overhaul_detailed
Dog,ACL Tear,"limping, difficulty_standing_up_after_resting, stiff_movement_in_the_affected_leg, swelling, change_in_walking_pattern, trouble_walking_upstairs, loss_of_appetite, sitting_awkwardly_with_legs_extended_outward, growling_snapping",medium,no,overhaul_detailed
Dog,Food Allergies,"itching, recurrent_ear_infections, hair_loss, constant_licking, diarrhea, vomiting, gas, weight_loss, lethargy, bumps",high,no,overhaul_detailed
Dog,Flea Allergy Dermatitis,"hair_loss, itching, scabs, red_and_inflamed_skin, presence_of_visible_fleas, pale_gums",high,yes,overhaul_detailed
Dog,Contact Dermatitis,"red_inflamed, localized, hardened, darkened, pustules_pimples, scratching",medium,no,overhaul_detailed
Dog,Demodectic Mange,"patchy, dry_flaky, bumps, darkened, thickened, itching, abdominal_pain, lethargy, fever, skin_lesions, ear_infections_if_mites_invade_the_ear_canal",high,no,overhaul_detailed
Dog,Anaplasmosis,"limping, lethargy, loss_of_appetite, fever, coughing, seizures, vomiting, diarrhea",high,no,overhaul_detailed
Dog,Babesiosis,"lethargy, loss_of_appetite, pale_gums, fever, enlarged_lymph_nodes, dark_red, yellow, distended_abdomen, weight_loss, discolored_stool, wobbly_gait, seizures, neck_pain, tick_infestation",high,no,overhaul_detailed
Dog,Hookworms,"dark_tar, weight_loss, dull, pale_gums, weakness, anemia, coughing, dermatitis",medium,yes,overhaul_detailed
Dog,Heartworm Disease,"coughing, lethargy, exercise_intolerance, weakness, sudden_death, weight_loss, difficulty_breathing, panting, swelling",high,no,overhaul_detailed
Dog,Heatstroke,"panting, lethargy, rapid_heartbeat, dehydration, fever, vomiting, diarrhea, confusion, weakness, seizures, sudden_death",emergency,no,overhaul_detailed
Dog,Lyme Disease,"joint_pain, limping, fever, lethargy, weakness, loss_of_appetite, enlarged_lymph_nodes, vomiting, diarrhea, excessive_thirst, frequent_urination, weight_loss, swollen_limbs",medium,no,overhaul_detailed
